currency,train_start,forecast_actual,volatility,actual_val,num_forecast_vals,mspe,mae,mape,pm,optimal_p,optimal_q,optimal_d,optimal_aic
ethereum,8/30/2017,369.8922193,56.57310743,378.49,1,73.92183269,8.597780684,0.022716005,Inf,1,2,1,-94.36882396
dji,8/31/2017,21850.30223,250.3442125,21948.09961,1,9564.328321,97.79738402,0.004455847,Inf,5,4,0,-260.9520938
bitcoin,8/31/2017,4652.357806,649.7181192,4703.39,1,2604.284803,51.03219379,0.010850088,Inf,0,2,1,-103.6455217
ethereum,8/31/2017,378.49,62.30921893,383.04,1,20.7025,4.55,0.011878655,Inf,0,0,1,-99.49401256
dji,9/1/2017,21938.5517,255.3427532,21987.56055,1,2401.866894,49.00884505,0.002228935,Inf,5,5,0,-259.9632502
bitcoin,9/1/2017,4677.934645,646.8732376,4892.01,1,45828.25782,214.0753555,0.043760204,Inf,0,2,1,-104.0767875
ethereum,9/1/2017,404.2254781,51.06266422,387.74,1,271.7709898,16.48547815,0.042516836,Inf,1,2,1,-103.1615627
dji,9/2/2017,21991.37488,256.2408429,21753.31055,1,56674.62457,238.0643286,0.010943821,Inf,5,5,0,-259.8187939
bitcoin,9/2/2017,4860.314429,623.2755606,4578.77,1,79267.2654,281.5444288,0.061489096,Inf,0,3,1,-103.2707378
ethereum,9/2/2017,408.0914494,50.01676316,348.98,1,3494.163445,59.11144936,0.169383487,Inf,1,2,1,-104.71681
dji,9/3/2017,21752.39491,291.6411387,21753.31055,1,0.838393109,0.915638089,4.21E-05,Inf,5,4,0,-251.2740015
bitcoin,9/3/2017,4549.353869,602.0241063,4582.96,1,1129.372033,33.60613088,0.007332844,Inf,0,3,1,-101.0673903
ethereum,9/3/2017,348.98,62.71969815,347.48,1,2.25,1.5,0.004316795,Inf,0,0,1,-94.41751779
dji,9/4/2017,21792.60321,286.8597499,21753.31055,1,1543.913149,39.29266025,0.001806284,Inf,5,4,0,-251.978652
bitcoin,9/4/2017,4582.96,639.0725486,4236.31,1,120166.2225,346.65,0.081828289,Inf,0,0,1,-109.1037101
ethereum,9/4/2017,347.48,51.45178144,295.17,1,2736.3361,52.31,0.177219907,Inf,0,0,1,-105.6285006
dji,9/5/2017,21758.56628,276.4592793,21753.31055,1,27.62269683,5.255729905,0.000241606,Inf,4,5,0,-253.643845
bitcoin,9/5/2017,4236.31,637.6622912,4376.53,1,19661.6484,140.22,0.032039081,Inf,0,0,1,-104.6777313
ethereum,9/5/2017,290.119167,42.25963137,312.99,1,523.0750007,22.87083297,0.073072088,Inf,0,4,1,-92.42024554
dji,9/6/2017,21816.6689,276.5997426,21807.64063,1,81.50970357,9.028272457,0.000413996,Inf,4,5,0,-253.6535189
bitcoin,9/6/2017,4304.224111,571.5059207,4597.12,1,85788.00189,292.8958892,0.063712909,Inf,0,2,1,-106.5119826
ethereum,9/6/2017,282.7799868,46.15261834,334.34,1,2658.434959,51.56001318,0.154214312,Inf,3,0,0,-91.30072044
dji,9/7/2017,21907.09804,277.0128712,21784.7793,1,14961.87465,122.318742,0.005614872,Inf,4,5,0,-254.0444621
bitcoin,9/7/2017,4795.559797,639.1884889,4599.88,1,38290.58303,195.6797972,0.042540196,Inf,0,2,1,-104.6553338
ethereum,9/7/2017,332.0025396,58.89927335,329.43,1,6.61796,2.572539601,0.007809063,Inf,1,0,0,-93.00809348
dji,9/8/2017,21809.75596,268.2615002,21797.78906,1,143.2066146,11.96689661,0.000548996,Inf,4,5,0,-255.4082532
bitcoin,9/8/2017,4599.88,694.8371091,4228.75,1,137737.4769,371.13,0.087763523,Inf,0,0,1,-104.4733188
ethereum,9/8/2017,327.8973839,58.17357171,296.5,1,985.7957158,31.3973839,0.105893369,Inf,1,0,0,-93.03165065
dji,9/9/2017,21849.56266,224.766397,22057.36914,1,43183.53156,207.8064762,0.009421181,Inf,5,5,0,-265.6735523
bitcoin,9/9/2017,4228.75,688.5475829,4226.06,1,7.2361,2.69,0.000636527,Inf,0,0,1,-100.1304226
ethereum,9/9/2017,300.0973575,57.39877877,294.4,1,32.45988213,5.697357469,0.019352437,Inf,1,0,0,-88.61938113
dji,9/10/2017,21917.94528,242.8555922,22057.36914,1,19439.01192,139.4238571,0.006320965,Inf,3,5,0,-258.8301831
bitcoin,9/10/2017,4226.06,646.2808589,4122.94,1,10633.7344,103.12,0.025011278,Inf,0,0,1,-103.760312
