class,rsi,adx,trend,preds,buy_sell,Date,Open,High,Low,Close,Volume,profits,,,,buy_thresh,0.65
1,69.72208952,46.43930128,145.22,0.567042232,0,8/19/2017,4137.75,4243.26,3970.55,4193.7,2975820000,0,,,,,
0,69.35047731,46.46685136,-291,0.636991501,0,8/20/2017,4189.31,4196.29,4069.88,4087.66,2109770000,0,,,,,
0,61.48673767,46.49243357,-397.04,0.703656197,1,8/21/2017,4090.48,4109.14,3988.6,4001.74,2800890000,-88.74,,,,,
1,54.52269067,45.94593541,-462.394,0.635449648,0,8/22/2017,3998.35,4128.76,3674.58,4100.52,3764240000,0,,,,,
1,57.58041875,43.60880416,-343.87064,0.635449648,0,8/23/2017,4089.01,4255.78,4078.41,4151.52,2369820000,0,,,,,
1,58.49729252,41.89968456,-246.6820016,0.505939782,0,8/24/2017,4137.6,4376.39,4130.26,4334.68,2037750000,0,,,,,
1,65.02525443,40.71820461,-41.71,0.467854142,0,8/25/2017,4332.82,4455.7,4307.35,4371.6,1727970000,0,,,,,
0,65.14246533,39.87528935,697.02,0.407636851,0,8/26/2017,4372.06,4379.28,4269.52,4352.4,1511610000,0,,,,,
1,62.41104369,38.87246743,677.82,0.427087754,0,8/27/2017,4345.1,4416.59,4317.29,4382.88,1537460000,0,,,,,
0,63.92783042,38.07244048,677.0552,0.407636851,0,8/28/2017,4384.45,4403.93,4224.64,4382.66,1959330000,0,,,,,
1,64.58598318,36.7632159,646.840192,0.407636851,0,8/29/2017,4389.21,4625.68,4352.13,4579.02,2486080000,0,,,,,
0,77.8803556,36.33851844,814.4049843,0.45575881,0,8/30/2017,4570.36,4626.52,4471.41,4565.3,1937850000,0,,,,,
1,77.89242054,35.94693656,749.0210853,0.45575881,0,8/31/2017,4555.59,4736.05,4549.4,4703.39,1944930000,0,,,,,
1,85.57397102,35.94492333,822.2917984,0.495034248,0,9/1/2017,4701.76,4892.01,4678.53,4892.01,2599080000,0,,,,,
0,91.85363174,36.40507274,925.4166186,0.384701431,0,9/2/2017,4901.42,4975.04,4469.24,4578.77,2722140000,0,,,,,
0,61.63793571,35.53761506,501.1266244,0.427087754,0,9/3/2017,4585.27,4714.08,4417.59,4582.96,1933190000,0,,,,,
0,61.63868092,34.44164847,379.681097,0.427087754,0,9/4/2017,4591.63,4591.63,4108.4,4236.31,2987330000,0,,,,,
1,41.09326577,32.03483161,-738.73,0.589806199,0,9/5/2017,4228.29,4427.84,3998.11,4376.53,2697970000,0,,,,,
