date,bitcoin_price_Close,ethereum_price_Close,litecoin_price_Close,neo_price_Close,ripple_price_Close
11/18/2017,7790.15,347.61,69.64,42.74,0.228627
11/19/2017,8036.49,354.39,71.59,39.75,0.231016
11/20/2017,8200.64,366.73,72.25,35.64,0.238759
11/21/2017,8071.26,360.4,70.03,34.36,0.233271
11/22/2017,8253.55,380.65,71.89,35.86,0.238859
11/23/2017,8038.77,410.17,73.22,34.9,0.242402
11/24/2017,8253.69,474.91,77.97,34.79,0.244642
11/25/2017,8790.92,466.28,88.82,38.13,0.252393
11/26/2017,9330.55,471.33,85.93,38.44,0.248818
11/27/2017,9818.35,480.36,91.6,40.13,0.253927
11/28/2017,10058.8,472.9,96.03,38.08,0.299152
11/29/2017,9888.61,427.52,85.57,32.28,0.243064
11/30/2017,10233.6,447.11,88.33,32.96,0.250878
12/1/2017,10975.6,466.54,99,35.84,0.255699
12/2/2017,11074.6,463.45,100.28,35.07,0.255492
12/3/2017,11323.2,465.85,101.26,36.62,0.252558
12/4/2017,11657.2,470.2,104.24,42.17,0.253571
12/5/2017,11916.7,463.28,102.4,38.82,0.246101
12/6/2017,14291.5,428.59,100.35,35.16,0.232544
12/7/2017,17899.7,434.41,98.29,34.86,0.222823
12/8/2017,16569.4,456.03,124.85,36.27,0.252125
12/9/2017,15178.2,473.5,155.24,35.71,0.244708
12/10/2017,15455.4,441.72,148.66,33.31,0.237333
12/11/2017,16936.8,515.14,214.2,35.88,0.251691
12/12/2017,17415.4,651.43,316.16,40.41,0.373541
12/13/2017,16408.2,702.77,302.6,44.81,0.471063
12/14/2017,16564,695.82,279.33,50.62,0.864263
12/15/2017,17706.9,684.45,299.78,47.99,0.756181
12/16/2017,19497.4,696.21,298.97,49.81,0.758642
12/17/2017,19140.8,719.98,318.72,68.11,0.728366
12/18/2017,19114.2,794.64,358.34,77.22,0.778407
12/19/2017,17776.7,826.82,350.25,70.81,0.791257
12/20/2017,16624.6,819.09,314.62,75.62,0.775964
12/21/2017,15802.9,821.06,317.46,71.37,1.19
12/22/2017,13831.8,674.86,264.93,55.57,1.14
12/23/2017,14699.2,719.39,288.27,58.9,1.17
12/24/2017,13925.8,694.15,275.98,59.7,1.04
12/25/2017,14026.6,765.83,273.39,66.32,1.12
12/26/2017,16099.8,773.84,286.5,65.52,1.19
12/27/2017,15838.5,762.84,272.17,66.88,1.4
12/28/2017,14606.5,737.02,249.93,65.43,1.43
12/29/2017,14656.2,753.59,245.5,73.9,2.21
12/30/2017,12952.2,717.26,218.96,72.4,2.16
12/31/2017,14156.4,756.73,232.1,75.96,2.3
1/1/2018,13657.2,772.64,229.03,78.82,2.39
1/2/2018,14982.1,884.44,255.68,90.33,2.48
1/3/2018,15201,962.72,245.37,105.56,3.11
1/4/2018,15599.2,980.92,241.37,99.11,3.2
1/5/2018,17429.5,997.72,249.27,95.28,3.05
1/6/2018,17527,1041.68,296.45,100.86,3.09
1/7/2018,16477.6,1153.17,288.45,102.43,3.38
1/8/2018,15170.1,1148.53,255.76,102.38,2.46
1/9/2018,14595.4,1299.74,247.04,126.94,2.1
1/10/2018,14973.3,1255.82,250.52,122.99,1.97
1/11/2018,13405.8,1154.93,229.37,108.3,1.95
1/12/2018,13980.6,1273.2,236.86,124.47,2.04
1/13/2018,14360.2,1396.42,259.19,140.62,2.02
1/14/2018,13772,1366.77,238.68,170.42,1.86
1/15/2018,13819.8,1291.92,232.77,187.41,1.68
1/16/2018,11490.5,1053.69,188.33,145.3,1.18
1/17/2018,11188.6,1014.25,186.52,141.37,1.31
1/18/2018,11474.9,1036.28,192.84,142.66,1.6
1/19/2018,11607.4,1039.1,192.96,139.5,1.55
1/20/2018,12899.2,1155.15,211.02,149.94,1.58
1/21/2018,11600.1,1049.58,190.42,131.09,1.38
1/22/2018,10931.4,1003.26,180.01,123.66,1.36
1/23/2018,10868.4,986.23,177.81,121.6,1.34
1/24/2018,11359.4,1058.78,179.99,136.41,1.36
1/25/2018,11259.4,1056.03,180.27,138,1.31
1/26/2018,11171.4,1055.17,176.73,137.89,1.22
1/27/2018,11440.7,1107.07,180.89,140.2,1.22
1/28/2018,11786.3,1246.01,193.87,152.16,1.4
1/29/2018,11296.4,1182.36,181.66,168.14,1.32
1/30/2018,10106.3,1071.13,165.28,146.28,1.14
1/31/2018,10221.1,1118.31,163.35,145.76,1.16
2/1/2018,9170.54,1036.79,142.3,126,0.96253
2/2/2018,8830.75,915.78,131.38,120.13,0.884784
2/3/2018,9174.91,964.02,160.25,122.97,0.924043
2/4/2018,8277.01,834.68,148.03,107.45,0.815703
2/5/2018,6955.27,697.95,125.33,82.37,0.691799
2/6/2018,7754,793.12,142.99,105.95,0.776393
2/7/2018,7621.3,757.07,138.2,102.5,0.723895
2/8/2018,8265.59,817.81,149.47,112.43,0.805263
2/9/2018,8736.98,883.87,163.95,117.57,0.954428
2/10/2018,8621.9,860.41,155.59,110.63,1.07
2/11/2018,8129.97,814.66,148.99,103.4,1
2/12/2018,8926.57,868.71,161.57,113.25,1.08
2/13/2018,8598.31,845.26,159.55,111.17,1.03
2/14/2018,9494.63,923.56,213.36,122.52,1.14
2/15/2018,10166.4,936.98,225.43,123.29,1.15
2/16/2018,10233.9,944.21,230.12,128.85,1.14
2/17/2018,11112.7,974.12,229.47,136.75,1.2
2/18/2018,10551.8,923.92,215.74,127.38,1.12
2/19/2018,11225.3,943.87,223.06,137.47,1.14
2/20/2018,11403.7,895.37,232.85,128.36,1.09
