currency,train_start,forecast_actual,volatility,actual_val,num_forecast_vals,mspe,mae,mape,pm,optimal_p,optimal_q,optimal_d,optimal_aic,risk_adj_return,buy_sell,profits
ethereum,17430,287.8519069,85.68594928,258.58,1,856.8445337,29.2719069,0.113202517,Inf,1,0,0,-62.20514631,0,0,0
ethereum,17431,258.58,83.25581177,264.31,1,32.8329,5.73,0.021679089,Inf,0,0,1,-60.77086125,0,0,0
ethereum,17432,264.31,85.06694564,286.17,1,477.8596,21.86,0.076388161,Inf,0,0,1,-60.79368797,0,0,0
ethereum,17433,286.17,93.51680749,282.48,1,13.6161,3.69,0.013062872,Inf,0,0,1,-59.91741213,0,0,0
ethereum,17434,282.48,92.34213531,292.33,1,97.0225,9.85,0.033694797,Inf,0,0,1,-59.89799942,0,0,0
ethereum,17435,292.33,95.43787448,287.44,1,23.9121,4.89,0.017012246,Inf,0,0,1,-59.97277525,0,0,0
ethereum,17436,287.44,93.90891329,306.47,1,362.1409,19.03,0.062094169,Inf,0,0,1,-59.93143933,0,0,0
ethereum,17437,306.47,100.1351395,299.15,1,53.5824,7.32,0.02446933,Inf,0,0,1,-59.92628583,0,0,0
ethereum,17438,299.15,97.78008921,291.47,1,58.9824,7.68,0.026349195,Inf,0,0,1,-59.9047227,0,0,0
ethereum,17439,291.47,95.39802942,301.46,1,99.8001,9.99,0.033138725,Inf,0,0,1,-59.82739551,0,0,0
ethereum,17440,301.46,98.91258781,302.34,1,0.7744,0.88,0.00291063,Inf,0,0,1,-59.68491378,-0.032664829,0,0
ethereum,17441,299.4612816,88.12899012,297.48,1,3.92547676,1.981281595,0.006660218,Inf,1,0,0,-63.34600808,-0.027942841,0,0
ethereum,17442,295.0772277,85.98883272,292.46,1,6.849881073,2.617227746,0.008949011,Inf,1,0,0,-64.03785317,-0.029773658,0,0
ethereum,17443,290.1775081,76.66145358,292.66,1,6.162766036,2.482491901,0.008482512,Inf,1,0,0,-69.92673421,-0.025783194,0,0
ethereum,17444,290.685422,76.58391686,295.86,1,26.77625697,5.174577951,0.017489955,Inf,1,0,0,-70.06804652,-0.035908113,0,0
ethereum,17445,293.0869161,77.22722323,308.59,1,240.3456091,15.50308386,0.050238452,Inf,1,0,0,-70.03612884,-0.107375785,-1,0
ethereum,17446,300.1337449,78.75383712,311.12,1,120.6978005,10.98625507,0.035311954,Inf,1,0,0,-70.36271508,-0.140236194,-1,-2.53
ethereum,17447,300.5988389,75.024577,308.61,1,64.17870223,8.011161104,0.025958851,Inf,1,0,0,-73.36967447,-0.122853471,-1,2.51
ethereum,17448,299.420274,74.80233137,297.39,1,4.122012462,2.030273987,0.006826975,Inf,1,0,0,-73.29601423,-0.068339805,0,11.22
ethereum,17449,292.4082605,72.89660093,299.87,1,55.67755588,7.461739467,0.024883248,Inf,1,0,0,-73.43086966,-0.152552131,-1,0
ethereum,17450,290.0986363,64.0526204,303.46,1,178.5260405,13.36136372,0.044030066,Inf,0,3,0,-73.45173763,-0.110557353,-1,-3.59
ethereum,17451,296.287133,64.87914931,304.14,1,61.6675204,7.852867018,0.025819909,Inf,0,3,0,-74.05790075,-0.01475563,0,-0.68
ethereum,17452,303.0539206,73.60440691,338.76,1,1274.924107,35.70607941,0.105402289,Inf,0,1,1,-74.27996659,0,0,0
ethereum,17453,338.76,74.06488253,339.63,1,0.7569,0.87,0.002561611,Inf,0,0,1,-83.08736372,0,0,0
ethereum,17454,339.63,63.11051991,336.6,1,9.1809,3.03,0.009001783,Inf,0,0,1,-92.48742782,0,0,0
